"ID","Title","Preconditions","Steps"
"C1","Регистрация нового пользователя - логин - позитивный - англ буквы","Открыта главная страница сайта https://vseti.by/welcome","1. Нажать на кнопку """"Регистрация"""" 
Expected Result:
Отображается страница """"Регистрация""""2. Ввести в поле """"Логин"""" английские буквы без пробелов в количестве от 5 до 32 символов. Остальные поля заполнить валидными данными. 
Expected Result:
Все поля формы заполнены. 3. Нажать кнопку """"Войти"""" 
Expected Result:
Отображается текст: """"Поздравляем вы успешно зарегистрировались! Мы отправили Вам письмо с ссылкой для подтверждения регистрации. Пожалуйста, проверьте ваш почтовый ящик. Рекомендуем проверить папку &laquo;Спам&raquo; &mdash; возможно письмо попало туда."""""
"C2","Регистрация нового пользователя - логин - негативный - пробел","Открыта главная страница сайта https://vseti.by/welcome","1. Нажать на кнопку """"Регистрация"""" 
Expected Result:
Отображается страница """"Регистрация""""2. Ввести в поле """"Логин"""" английские буквы с пробелом в количестве от 5 до 32 символов. Остальные поля заполнить валидными данными. 
Expected Result:
Все поля формы заполнены.3. Нажать кнопку """"Войти"""" 
Expected Result:
Отображается текст: """"Недопустимые символы в Имени пользователя""""ало туда."""""
"C3","Регистрация нового пользователя - логин - негативный - язык","Открыта главная страница сайта https://vseti.by/welcome","1. Нажать на кнопку """"Регистрация"""" 
Expected Result:
Отображается страница """"Регистрация""""2. Ввести в поле """"Логин"""" не английские буквы без пробелов в количестве от 5 до 32. Остальные поля заполнить валидными данными. 
Expected Result:
Все поля формы заполнены.3. Нажать кнопку """"Войти"""" 
Expected Result:
Отображается текст: """"Недопустимые символы в Имени пользователя""""ало туда."""""
"C4","Регистрация нового пользователя - логин - негативный - количество меньше","Открыта главная страница сайта https://vseti.by/welcome","1. Нажать на кнопку """"Регистрация"""" 
Expected Result:
Отображается страница """"Регистрация""""2. Ввести в поле """"Логин"""" английские буквы без пробелов в количестве до 5 символов. Остальные поля заполнить валидными данными. 
Expected Result:
Все поля формы заполнены.3. Нажать кнопку """"Войти"""" 
Expected Result:
Отображается текст: """"Имя пользователя должно быть от 5 до 32 символов"""""
"C5","Регистрация нового пользователя - логин - негативный - количество больше","Открыта главная страница сайта https://vseti.by/welcome","1. Нажать на кнопку """"Регистрация"""" 
Expected Result:
Отображается страница """"Регистрация""""2. Ввести в поле """"Логин"""" английские буквы без пробелов в количестве более 32 символов. Остальные поля заполнить валидными данными. 
Expected Result:
Все поля формы заполнены.3. Нажать кнопку """"Войти"""" 
Expected Result:
Отображается текст: """"Имя пользователя должно быть от 5 до 32 символов"""""
"C6","Регистрация нового пользователя - логин - позитивный - только цифры","Открыта главная страница сайта https://vseti.by/welcome","1. Нажать на кнопку """"Регистрация"""" 
Expected Result:
Отображается страница """"Регистрация""""2. Ввести в поле """"Логин"""" цифры без пробелов в количестве от 5 до 32 символов. Остальные поля заполнить валидными данными. 
Expected Result:
Все поля формы заполнены. 3. Нажать кнопку """"Войти"""" 
Expected Result:
Отображается текст: """"Поздравляем вы успешно зарегистрировались! Мы отправили Вам письмо с ссылкой для подтверждения регистрации. Пожалуйста, проверьте ваш почтовый ящик. Рекомендуем проверить папку &laquo;Спам&raquo; &mdash; возможно письмо попало туда."""""
"C7","Регистрация нового пользователя - логин - позитивный - цифры и англ буквы","Открыта главная страница сайта https://vseti.by/welcome","1. Нажать на кнопку """"Регистрация"""" 
Expected Result:
Отображается страница """"Регистрация""""2. Ввести в поле """"Логин"""" цифры и английские буквы без пробелов в количестве от 5 до 32 символов. Остальные поля заполнить валидными данными. 
Expected Result:
Все поля формы заполнены. 3. Нажать кнопку """"Войти"""" 
Expected Result:
Отображается текст: """"Поздравляем вы успешно зарегистрировались! Мы отправили Вам письмо с ссылкой для подтверждения регистрации. Пожалуйста, проверьте ваш почтовый ящик. Рекомендуем проверить папку &laquo;Спам&raquo; &mdash; возможно письмо попало туда."""""
"C8","Регистрация нового пользователя - логин - негативный - существующий логин","Открыта главная страница сайта https://vseti.by/welcome","1. Нажать на кнопку """"Регистрация"""" 
Expected Result:
Отображается страница """"Регистрация""""2. Ввести в поле """"Логин"""" логин уже существующего пользователя. Остальные поля заполнить валидными данными. 
Expected Result:
Все поля формы заполнены.3. Нажать кнопку """"Войти"""" 
Expected Result:
Отображается текст: """"Имя пользователя уже существует."""""
"C9","Регистрация нового пользователя - логин - негативный - пусто","Открыта главная страница сайта https://vseti.by/welcome","1. Нажать на кнопку """"Регистрация"""" 
Expected Result:
Отображается страница """"Регистрация""""2. Оставить поле """"Логин"""" пустым. Остальные поля заполнить валидными данными. 
Expected Result:
Все поля формы заполнены.3. Нажать кнопку """"Войти"""" 
Expected Result:
Отображается текст: """"Заполните это поле."""""
"C10","Регистрация нового пользователя - чекбокс - позитивный - условия","Открыта главная страница сайта https://vseti.by/welcome","1. Нажать на кнопку """"Регистрация"""" 
Expected Result:
Отображается страница """"Регистрация""""2. Все поля заполнить валидными данными. 
Expected Result:
Все поля формы заполнены. 3. Нажать """"Условия"""" в поле """"При создании аккаунта, вы соглашаетесь с нашими разделами """"Условия &amp; Правила""""
Expected Result:
В новом окне открывается страница Условия https://vseti.by/terms/terms"
"C11","Регистрация нового пользователя - чекбокс - позитивный - правила","Открыта главная страница сайта https://vseti.by/welcome","1. Нажать на кнопку """"Регистрация"""" 
Expected Result:
Отображается страница """"Регистрация""""2. Все поля заполнить валидными данными. 
Expected Result:
Все поля формы заполнены. 3. Нажать """"Правила"""" в поле """"При создании аккаунта, вы соглашаетесь с нашими разделами """"Условия &amp; Правила""""
Expected Result:
В новом окне открывается страница Правила https://vseti.by/terms/privacy-policy"
"C12","Регистрация нового пользователя - пол - позитивный - мужской","Открыта главная страница сайта https://vseti.by/welcome","1. Нажать на кнопку """"Регистрация"""" 
Expected Result:
Отображается страница """"Регистрация""""2. В поле """"Пол"""" в раскрывающемся списке выбрать """"Мужской"""". Остальные поля заполнить валидными данными. 
Expected Result:
Все поля формы заполнены.3. Нажать кнопку """"Войти"""" 
Expected Result:
Отображается текст: """"Поздравляем вы успешно зарегистрировались! Мы отправили Вам письмо с ссылкой для подтверждения регистрации. Пожалуйста, проверьте ваш почтовый ящик. Рекомендуем проверить папку &laquo;Спам&raquo; &mdash; возможно письмо попало туда."""""
"C13","Мессенджер - отправка сообщения - позитивный - текст","Пользователь авторизован. Открыта страница Мессенджер ( https://vseti.by/im )","1. Ввести от 1 до 1280 символов (русские или английские буквы, знаки, цифры)
Expected Result:
В поле ввода отображаются введенные символы.2. Нажать кнопку """"Отправить""""
Expected Result:
Сообщение отправлено. Сообщение отображается в поле диалога."
"C14","Мессенджер - отправка сообщения - негативный - скрипт","Пользователь авторизован. Открыта страница Мессенджер ( https://vseti.by/im )","1. Ввести &amp;lt;script&amp;gt;alert('This is a security vulnerability!')&amp;lt;/script&amp;gt; в поле ввода.
Expected Result:
В поле ввода отображаются введенные символы.2. Нажать кнопку """"Отправить""""
Expected Result:
Сообщение отправлено, как текст. Сообщение отображается в поле диалога."
